coordinate_velocity_c,positive_energy_J,scaling_factor,tidal_acceleration_g,t_stress_tensor,viable_operation,earth_proxima_days,energy_efficiency,velocity_category
16.0,7.65164212967371e+60,1.1321525392232095,0.006848468450993382,1.01483055642314e+40,True,96.79125,1.3069090046983721e-46,MEDIUM_VELOCITY
17.0,8.593533407806457e+60,1.1230966192838547,0.008113832241073647,1.1397527670647817e+40,True,91.09764705882354,1.1636656920325572e-46,MEDIUM_VELOCITY
18.0,9.58280429518824e+60,1.1151180591772785,0.009514215843530665,1.270958893551212e+40,True,86.03666666666668,1.043535868203136e-46,MEDIUM_VELOCITY
19.0,1.061806449099031e+61,1.1080331147242461,0.011054115260448054,1.408264541508031e+40,True,81.50842105263159,9.417912283811469e-47,MEDIUM_VELOCITY
20.0,1.1697896482386571e+61,1.1016976297622345,0.012737761517302661,1.5514817074575978e+40,True,77.433,8.548545471450291e-47,MEDIUM_VELOCITY
21.0,1.2820858607429105e+61,1.0959969278864254,0.014569134660871093,1.700419185045513e+40,True,73.74571428571429,7.799789628914131e-47,MEDIUM_VELOCITY
22.0,1.3985488089573128e+61,1.0908386495635458,0.016551976935661766,1.8548829675069925e+40,True,70.39363636363636,7.150268861517601e-47,MEDIUM_VELOCITY
23.0,1.519030404345362e+61,1.086147579988913,0.01868980519040643,2.0146766463203735e+40,True,67.33304347826088,6.583146704235706e-47,MEDIUM_VELOCITY
24.0,1.6433810448721147e+61,1.081861850935329,0.02098592256354954,2.1796018056243406e+40,True,64.5275,6.085016029120735e-47,MEDIUM_VELOCITY
25.0,1.771449908685539e+61,1.0779301089135966,0.023443429493897345,2.3494584117249176e+40,True,61.946400000000004,5.645093293899715e-47,MEDIUM_VELOCITY
26.0,1.9030852434653643e+61,1.0743093745605836,0.026065234099764772,2.5240451968562986e+40,True,59.56384615384616,5.254625369166758e-47,MEDIUM_VELOCITY
27.0,2.0381346507369413e+61,1.0709634041540161,0.028854061967176367,2.7031600362638152e+40,True,57.357777777777784,4.906447175305241e-47,MEDIUM_VELOCITY
28.0,2.1764453644127895e+61,1.0678614210429318,0.031812465384987686,2.8866003176311407e+40,True,55.309285714285714,4.594647843456445e-47,MEDIUM_VELOCITY
29.0,2.3178645228180123e+61,1.0649771231189982,0.03494283206223053,3.0741633018651987e+40,True,53.402068965517245,4.314316001455601e-47,MEDIUM_VELOCITY
